id,description,gst_type,type_tax_use,name,amount_type,amount,account_id:id,refund_account_id:id,children_tax_ids:id,price_include,include_base_amount
GSTI0,GST Exempted @0%,gst,purchase,GST Exempted @0%,percent,0,,,,FALSE,TRUE
IGSTI0,IGST Exempted @0%,igst,purchase,IGST Exempted @0%,percent,0,,,,FALSE,TRUE
CGSTI5,CGST @2.5%,cgst,purchase,CGST @2.5%,percent,2.5,gst100550,l10n_in.p2107,,FALSE,FALSE
SGSTI5,SGST @2.5%,sgst,purchase,SGST @2.5%,percent,2.5,gst100551,l10n_in.p2107,,FALSE,FALSE
GSTI5,GST @5%,gst,purchase,GST @5%,group,,,l10n_in.p2107,"CGSTI5,SGSTI5",FALSE,TRUE
IGSTI5,IGST @5%,igst,purchase,IGST @5%,percent,5,gst100552,l10n_in.p2107,,FALSE,TRUE
CGSTI12,CGST @6%,cgst,purchase,CGST @6%,percent,6,gst100550,l10n_in.p2107,,FALSE,FALSE
SGSTI12,SGST @6%,sgst,purchase,SGST @6%,percent,6,gst100551,l10n_in.p2107,,FALSE,FALSE
GSTI12,GST @12%,gst,purchase,GST @12%,group,,,l10n_in.p2107,"CGSTI12,SGSTI12",FALSE,TRUE
IGSTI12,IGST @12%,igst,purchase,IGST @12%,percent,12,gst100552,l10n_in.p2107,,FALSE,TRUE
CGSTI18,CGST @9%,cgst,purchase,CGST @9%,percent,9,gst100550,l10n_in.p2107,,FALSE,FALSE
SGSTI18,SGST @9%,sgst,purchase,SGST @9%,percent,9,gst100551,l10n_in.p2107,,FALSE,FALSE
GSTI18,GST @18%,gst,purchase,GST @18%,group,,,l10n_in.p2107,"CGSTI18,SGSTI18",FALSE,TRUE
IGSTI18,IGST @18%,igst,purchase,IGST @18%,percent,18,gst100552,l10n_in.p2107,,FALSE,TRUE
CGSTI28,CGST @14%,cgst,purchase,CGST @14%,percent,14,gst100550,l10n_in.p2107,,FALSE,FALSE
SGSTI28,SGST @14%,sgst,purchase,SGST @14%,percent,14,gst100551,l10n_in.p2107,,FALSE,FALSE
